DO,pH,Conductivity,Turbidity,Ammonia-N,Hardness,Sulphate,TDS,Date,WQI
6.5,8.15,461.0,29.0,0.4,146.0,36.0,254.0,2018-01-01,119.84914285714285
5.1,8.51,441.0,2.89,0.4,202.0,28.0,266.0,2018-01-01,76.04819047619048
5.0,8.52,440.0,7.2,0.4,164.0,25.0,272.0,2018-01-01,81.51457142857143
5.0,8.39,542.0,6.79,0.4,180.0,27.0,310.0,2018-01-01,86.51161904761906
4.9,8.49,604.0,2.0,0.4,210.0,34.0,344.0,2018-01-01,83.77009523809524
4.9,7.76,712.0,6.98,0.4,226.0,38.0,410.0,2018-01-01,98.09228571428574
4.9,8.18,912.0,15.1,0.4,274.0,40.0,534.0,2018-01-01,126.0629523809524
6.2,8.44,420.0,6.0,0.4,146.0,15.0,247.0,2018-01-01,79.90219047619046
6.0,8.3,468.0,9.0,0.4,155.0,12.0,284.0,2018-01-01,87.44152380952383
6.0,8.34,265.0,7.0,0.4,105.0,8.0,159.0,2018-01-01,69.67104761904763
5.8,8.28,295.0,2.0,0.4,128.0,10.0,185.0,2018-01-01,64.1247619047619
4.9,8.11,342.0,4.0,0.4,125.0,12.0,212.0,2018-01-01,67.37028571428571
5.2,8.41,437.0,2.2,0.4,142.0,22.0,244.0,2018-01-01,71.58104761904764
4.8,7.68,289.0,5.0,0.4,120.0,5.0,176.0,2018-01-01,63.999904761904766
7.2,8.5,370.0,35.0,0.4,114.0,15.0,212.0,2018-01-01,124.81647619047622
6.8,7.51,694.0,36.0,0.4,104.0,22.0,406.0,2018-01-01,143.85609523809524
6.6,7.66,816.0,40.0,0.4,212.0,52.0,487.0,2018-01-01,162.97980952380954
6.4,7.8,1545.0,52.0,0.4,344.0,70.0,952.0,2018-01-01,233.75314285714288
3.9,8.3,486.0,31.0,0.4,175.0,8.0,304.0,2018-01-01,118.7181904761905
6.2,7.57,98.0,2.0,0.4,46.0,3.0,65.0,2018-01-01,48.73238095238096
5.9,8.27,529.0,18.0,0.4,195.0,20.0,307.0,2018-01-01,106.38171428571428
5.2,8.31,562.0,24.0,0.4,205.0,25.0,354.0,2018-01-01,118.00057142857143
4.2,7.56,1379.0,39.0,0.4,309.0,50.0,798.0,2018-01-01,191.2506666666667
3.0,11.05,912.0,10.6,0.4,222.0,78.0,601.0,2018-01-01,121.37228571428574
4.0,8.14,698.0,19.0,0.4,216.0,22.0,389.0,2018-01-01,112.76342857142858
4.6,8.16,684.0,16.5,0.4,262.0,38.0,398.0,2018-01-01,112.79352380952383
7.6,8.19,945.0,34.0,0.4,255.0,39.0,557.0,2018-01-01,165.48933333333335
5.1,7.78,326.0,4.0,0.4,110.0,6.0,191.0,2018-01-01,65.07704761904762
4.6,7.48,1408.0,71.0,0.4,370.0,73.0,777.0,2018-01-01,246.60028571428575
4.6,7.49,1412.0,23.0,0.4,385.0,86.0,807.0,2018-01-01,172.53933333333333
6.1,8.68,1293.0,39.0,0.4,301.0,48.0,717.0,2018-01-01,191.27266666666668
6.5,8.03,880.0,36.0,0.4,186.0,25.0,457.0,2018-01-01,155.35457142857143
5.0,7.34,1609.0,49.0,0.4,390.0,59.0,515.0,2018-01-01,206.40428571428572
6.2,7.28,2586.0,62.0,0.4,359.0,105.0,1528.0,2018-01-01,312.9673333333334
4.6,6.78,9740.0,272.0,0.4,1410.0,140.0,5599.0,2018-01-01,1114.3062857142859
